,Codigo,Nombre,Departamento,Municipio
4066,13070340,PALMA DE VINO [13070340],Córdoba,Monteria
4067,29030360,BANCO EL [29030360],Atlantico,Repelon
4068,28015030,CICOLAC [28015030],Cesar,Valledupar
4069,28040110,CARACOLICITO [28040110],Cesar,El Copey
4070,29037790,CASA DE BOMBAS [29037790],Atlantico,Repelon
4071,28010140,VILLA CARMELITA [28010140],Cesar,Valledupar
4072,27020180,ANORI [27020180],Antioquia,Anori
4073,23197100,CARRIZAL PUENTE TONA [23197100],Santander,Tona
4074,23197220,PUENTE JABONCILLO 1 [23197220],Santander,Charta
4075,27030030,ZARAGOZA [27030030],Antioquia,Zaragoza
4076,25027950,SAN JACINTO [25027950],Bolívar,San Jacinto Del Cauca
4077,29030440,HONDURAS [29030440],Bolívar,Maria La Baja
4078,25020510,ALPES LOS [25020510],Bolívar,San Jacinto Del Cauca
4079,28010110,DONACHUI [28010110],Cesar,Valledupar
4080,29030700,BODEGA LA [29030700],Magdalena,Cienaga
4081,29037380,PUERTO SANTANDER 1 [29037380],Bolívar,Maria La Baja
4082,28040130,AURORA LA [28040130],Magdalena,Fundacion
4083,28047080,BELLEZA LA [28047080],Cesar,El Copey
4084,23187220,ESTRELLA LA [23187220],Santander,Sabana De Torres
4085,13070270,MONTERIA [13070270],Córdoba,Monteria
4086,13070140,COROZA 1 [13070140],Córdoba,Cerete
4087,26225050,PALMAR EL [26225050],Antioquia,Ituango
4088,23170060,MONTERRUBIO FINCA [23170060],Bolívar,Cantagallo
4089,26250010,CACERES [26250010],Antioquia,Caceres
4090,25028180,PANELAS LAS [25028180],Bolívar,Pinillos
4091,16040020,MESA RICA [16040020],Norte de Santander,Hacari
4092,16015080,DAVE EL [16015080],Norte de Santander,Puerto Santander
4093,11145010,BAJIRA [11145010],Chocó,Riosucio
4094,16047020,PUENTE TARRA [16047020],Norte de Santander,El Tarra
4095,13075040,AEROPUERTO BERASTEGUI [13075040],Córdoba,Cienaga De Oro
4096,29035050,BELLA FUENTE [29035050],Atlantico,Sabanalarga
4097,29037500,RADIAL PPAL 6 [29037500],Bolívar,Maria La Baja
4098,29037410,CRUCE OLEODUCTO [29037410],Bolívar,Arjona
4099,29030210,SANTA RITA [29030210],Bolívar,San Juan Nepomuceno
4100,25020060,SAN MARCOS [25020060],Sucre,San Marcos
4101,29037810,COMPUERTAS GUAJARO [29037810],Atlantico,Manati
4102,25020380,PINILLOS [25020380],Bolívar,Pinillos
4103,25028300,MARIAS LAS [25028300],Bolívar,Barranco De Loba
4104,13077080,HIGAL EL [13077080],Córdoba,Cienaga De Oro
4105,13070200,COROCITO [13070200],Córdoba,San Pelayo
4106,13070080,SIGLO EL [13070080],Córdoba,Cienaga De Oro
4107,25020570,PALITO [25020570],Sucre,San Benito Abad
4108,25028280,PLATANERA LA [25028280],Bolívar,Margarita
4109,29060320,AHUYAMA LA [29060320],Magdalena,Sitionuevo
4110,29060380,LOMA LA [29060380],Magdalena,Puebloviejo
4111,29060300,SANTA ROSA [29060300],Magdalena,Zona Bananera
4112,24057080,LLANITO EL ARRIBA [24057080],Santander,Barrancabermeja
4113,23197180,PUENTE OLAS [23197180],Santander,Giron
4114,23157040,SOGAMOSO ARRIBA,Santander,Puerto Wilches
4115,47010040,CHALET GUAMUES [47010040],Nariño,Pasto
4116,47010080,QUINCHOA [47010080],Putumayo,Santiago
4117,47017030,PUENTE CARRETERA [47017030],Putumayo,Mocoa
4118,51027010,RICAURTE [51027010],Nariño,Ricaurte
4119,47010100,SAN PABLO [47010100],Putumayo,Sibundoy
4120,44017030,PUENTE PITALITO [44017030],Putumayo,Mocoa
